Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.015295583667063318,0.011929429706361485,0.9897247533058526,0.004768050102248705,20.663154304193014,0.6756120376534515
2,0.19327694066178436,0.012520981704883298,0.8766531344926258,0.04598784745461888,21.459966630110834,0.6801757766650274
3,0.11826959846752833,0.012626891682270162,0.9239117077182865,0.019866493791135396,21.081806433336887,0.6714661868063958
4,0.8506902203665546,0.01086116805827436,0.68925527935213,0.5283768587330372,21.215090607359464,0.6723962098687559
5,0.9141628334396764,0.01085336384856222,0.5987191350506283,0.4986462799465887,21.156446345858555,0.6805682706308889
6,0.9104173784440904,0.009549539040908259,0.5119558235945134,0.39219498254585794,20.498514560955677,0.6831284178482308
7,0.8401922305369971,0.009662048789282998,0.4437031298463034,0.25555684799302647,22.294811876181754,0.6914756563338604
8,0.6127561424907885,0.01087237794953205,0.5123060990816338,0.07386775351699618,21.510041602966087,0.6798446954606654
9,0.4608301280938357,0.009097515613129594,0.6258599033316087,0.07063170112192198,20.111893026982624,0.6829751461416811
10,0.6109411713158985,0.008959478920537185,0.6146089358673201,0.13521693269348087,22.481190316705405,0.7031069181777618
